"","EEZ","seaBasn","country","Average","Max"
"154","Mexican Exclusive Economic Zone","Caribbean Sea","Mexico",2.03188701492993,7.17941435439257
"155","Micronesian Exclusive Economic Zone","North Pacific Ocean","Micronesia",0.660849506312414,4.51135082551769
"160","Mozambican Exclusive Economic Zone","Indian Ocean","Mozambique",1.14747706621633,8.2923610758136
"161","Myanmar Exclusive Economic Zone","Andaman Sea","Myanmar",1.64874751359196,8.2923610758136
"164","New Caledonian Exclusive Economic Zone","Coral Sea","France",0.134054121305003,0.588660752059785
"165","New Zealand Exclusive Economic Zone","South Pacific Ocean","New Zealand",0.381972063947213,3.24253882306118
"166","Nicaraguan Exclusive Economic Zone","Caribbean Sea","Nicaragua",4.10923310337604,5.68994113120845
"168","Niue Exclusive Economic Zone","South Pacific Ocean","New Zealand",0.845442547359622,0.922374975065434
"169","Norfolk Island Exclusive Economic Zone","South Pacific Ocean","Australia",0.284541522231308,0.516799373732287
"170","North Korean Exclusive Economic Zone","Japan Sea","North Korea",1.07291983480201,1.79152516451707
"171","Northern Mariana Exclusive Economic Zone","North Pacific Ocean","United States",0.398134487218483,0.859009974332809
"173","Oecussi Ambeno Exclusive Economic Zone","Savu Sea","East Timor",0.417186664483579,0.478617722841065
"174","Omani Exclusive Economic Zone","Arabian Sea","Oman",1.76981607001829,2.23750106318884
"181","Overlapping claim Glorioso Islands: France / Madagascar","Indian Ocean","Madagascar",0.504825541841569,1.00327266577175
"185","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu","South Pacific Ocean","France",0.0760665580472236,0.0809349663127812
"186","Overlapping claim Mayotte: France / Comoros","Indian Ocean","France",0.319681767641437,0.407021244593066
"192","Overlapping claim Senkaku Islands: Japan / China / Taiwan","Eastern China Sea","Taiwan",1.25612876341938,2.7718380462912
"193","Overlapping claim South China Sea","South China Sea","China",1.51888936239393,4.31028782256871
"199","Overlapping claim: Kenya / Somalia","Indian Ocean","Kenya",0.597584619986996,0.649019559372279
"205","Pakistani Exclusive Economic Zone","Arabian Sea","Pakistan",3.42091194088352,4.19684721554844
"206","Palau Exclusive Economic Zone","North Pacific Ocean","Palau",0.278667905294534,0.564614032741852
"208","Palmyra Atoll Exclusive Economic Zone","North Pacific Ocean","United States",1.65397162402423,4.08446766174433
"209","Panamanian Exclusive Economic Zone","Caribbean Sea","Panama",3.45412392862862,5.74271842884711
"210","Papua New Guinean Exclusive Economic Zone","Arafura Sea","Papua New Guinea",0.552110616205072,5.02238494024219
"211","Peruvian Exclusive Economic Zone","South Pacific Ocean","Peru",1.83177093081484,2.1795700521944
"212","Philippines Exclusive Economic Zone","Celebes Sea","Philippines",1.80280294068893,5.93858869813585
"213","Pitcairn Islands Exclusive Economic Zone","South Pacific Ocean","United Kingdom",0.314926291642254,0.745995418057094
"220","Réunion Exclusive Economic Zone","Indian Ocean","France",0.762295917572219,1.13866583637038
"230","Samoan Exclusive Economic Zone","South Pacific Ocean","Samoa",0.0552817070180889,0.14103847529564
"232","Saudi Arabian Exclusive Economic Zone","Gulf of Aqaba","Saudi Arabia",0.744926286298865,0.758025315397966
"234","Seychellois Exclusive Economic Zone","Indian Ocean","Seychelles",0.420834783139995,1.08076351119205
"240","Solomon Islands Exclusive Economic Zone","Coral Sea","Solomon Islands",0.358893887889898,1.68960966114421
"241","Somali Exclusive Economic Zone","Arabian Sea","Federal Republic of Somalia",0.537182079303756,1.76645005583553
"242","South African Exclusive Economic Zone","Indian Ocean","South Africa",0.799031677069606,1.32889368800022
"244","South Korean Exclusive Economic Zone","Eastern China Sea","South Korea",0.8636366167951,3.99065871588867
"247","Sri Lankan Exclusive Economic Zone","Bay of Bengal","Sri Lanka",1.57659217516244,2.92666379721592
"254","Taiwanese Exclusive Economic Zone","Eastern China Sea","Taiwan",1.31593592587878,3.83689641641529
"255","Tanzanian Exclusive Economic Zone","Indian Ocean","Tanzania",0.526239190051823,1.10319846570562
"256","Thailand Exclusive Economic Zone","Andaman Sea","Thailand",1.70809549442353,5.81181608463546
"258","Tokelau Exclusive Economic Zone","South Pacific Ocean","New Zealand",0.144573028401531,0.179173274145741
"259","Tongan Exclusive Economic Zone","South Pacific Ocean","Tonga",0.673703468572207,2.2028811404108
"265","Tuvaluan Exclusive Economic Zone","South Pacific Ocean","Tuvalu",1.06276792224576,8.07657100413013
"266","United Arab Emirates Exclusive Economic Zone","Gulf of Oman","United Arab Emirates",2.10091719342002,2.19837759874004
"268","United States Exclusive Economic Zone","Bay of Fundy","United States",1.34147670194473,7.17941435439257
"270","United States Exclusive Economic Zone (Hawaii)","North Pacific Ocean","United States",1.23321197237513,7.17941435439257
"272","Vanuatu Exclusive Economic Zone","Coral Sea","Vanuatu",0.218813929370753,0.907281956370574
"274","Vietnamese Exclusive Economic Zone","Gulf of Thailand","Vietnam",1.27709249025808,3.7978084965158
"277","Wallis and Futuna Exclusive Economic Zone","South Pacific Ocean","France",0.764507138702762,8.20953615160139
"278","Yemeni Exclusive Economic Zone","Arabian Sea","Yemen",0.57081735123211,1.76645005583553
