"Species","Ocean","EEZ","Average","Max"
"Chanos chanos","South Pacific Ocean","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0.882074959083461,1.1871384119272
"Chanos chanos","South Pacific Ocean","Australian Exclusive Economic Zone",0.588365040160667,8.20953615160139
"Chanos chanos","South Pacific Ocean","Bangladeshi Exclusive Economic Zone",1.37482991824749,1.77552966289747
"Chanos chanos","South Pacific Ocean","Bassas da India Exclusive Economic Zone",0.408752489954421,0.489330620335784
"Chanos chanos","South Pacific Ocean","Bruneian Exclusive Economic Zone",1.08170490945108,1.39957796418751
"Chanos chanos","South Pacific Ocean","Chagos Archipelago Exclusive Economic Zone",0.372917488954427,1.09328138553954
"Chanos chanos","South Pacific Ocean","Chilean Exclusive Economic Zone",0.109979968766627,0.218820526443768
"Chanos chanos","South Pacific Ocean","Chilean Exclusive Economic Zone (Easter Island)",2.04153217240669,2.30098775429288
"Chanos chanos","South Pacific Ocean","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",0.136822166885793,0.190392321158897
"Chanos chanos","South Pacific Ocean","Chinese Exclusive Economic Zone",1.48424917131475,4.32391199623251
"Chanos chanos","South Pacific Ocean","Clipperton Exclusive Economic Zone",0.811584028110492,0.856149226151126
"Chanos chanos","South Pacific Ocean","Cocos Islands Exclusive Economic Zone",0.516867977782613,0.556936740424172
"Chanos chanos","South Pacific Ocean","Colombian Exclusive Economic Zone",3.48061749626681,5.74271842884711
"Chanos chanos","South Pacific Ocean","Comoran Exclusive Economic Zone",0.324848119146384,0.401075725554522
"Chanos chanos","South Pacific Ocean","Cook Islands Exclusive Economic Zone",0.870516218738751,2.35035549961659
"Chanos chanos","South Pacific Ocean","Costa Rican Exclusive Economic Zone",3.63732980624638,5.74271842884711
"Chanos chanos","South Pacific Ocean","East Timorian Exclusive Economic Zone",4.06500152963085,7.46540357669398
"Chanos chanos","South Pacific Ocean","Ecuadorian Exclusive Economic Zone",2.79037820003684,3.78668625625735
"Chanos chanos","South Pacific Ocean","Ecuadorian Exclusive Economic Zone (Galapagos)",3.65053106549039,4.92806120939777
"Chanos chanos","South Pacific Ocean","El Salvador Exclusive Economic Zone",4.28523718730869,6.75991133033502
"Chanos chanos","South Pacific Ocean","Eritrean Exclusive Economic Zone",0.744926286298865,0.758025315397966
"Chanos chanos","South Pacific Ocean","Fijian Exclusive Economic Zone",0.659491434251864,8.2923610758136
"Chanos chanos","South Pacific Ocean","French Polynesian Exclusive Economic Zone",0.460031615945377,4.27017589620629
