"EEZ","Species_count","Average","Species"
"Cayman Islands Exclusive Economic Zone",18,6.134,"Anguilla rostrata,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Helicolenus dactylopterus,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil cephalus,Mugil curema,Mycteroperca bonaci,Panulirus argus,Pomatomus saltatrix,Rachycentron canadum,Seriola lalandi,Seriola rivoliana,Thunnus albacares,Thunnus thynnus"
"Chagos Archipelago Exclusive Economic Zone",27,4.482,"Argyrosomus japonicus,Carangoides malabaricus,Caranx ignobilis,Eleutheronema tetradactylum,Helicolenus dactylopterus,Lates calcarifer,Lutjanus argentimaculatus,Lutjanus erythropterus,Lutjanus malabaricus,Metapenaeus ensis,Mugil cephalus,Naso vlamingii,Panulirus polyphagus,Penaeus monodon,Polydactylus sexfilis,Pomatomus saltatrix,Portunus pelagicus,Rachycentron canadum,Scomber japonicus,Seriola lalandi,Seriola rivoliana,Siganus canaliculatus,Siganus sutor,Tegillarca granosa,Thunnus albacares,Tridacna squamosa,Turbo setosus"
"Chilean Exclusive Economic Zone",16,2.582,"Argopecten ventricosus,Aulacomya ater,Caranx sexfasciatus,Choromytilus chorus,Crassostrea virginica,Loxechinus albus,Mugil cephalus,Mytilus edulis,Mytilus galloprovincialis,Portunus pelagicus,Pseudocaranx dentex,Scomber japonicus,Seriola lalandi,Seriola rivoliana,Thunnus maccoyii,Thunnus orientalis"
"Chinese Exclusive Economic Zone",87,3.496,"Acanthopagrus berda,Acanthopagrus schlegelii,Acetes japonicus,Anguilla japonica,Apostichopus japonicus,Argyrosomus japonicus,Asaphis violascens,Bolbometopon muricatum,Carangoides malabaricus,Caranx ignobilis,Caranx sexfasciatus,Chanos chanos,Cromileptes altivelis,Decapterus macrosoma,Dentex tumifrons,Eleutheronema tetradactylum,Epinephelus akaara,Epinephelus areolatus,Epinephelus bruneus,Epinephelus chlorostigma,Epinephelus coioides,Epinephelus fuscoguttatus,Epinephelus lanceolatus,Epinephelus malabaricus,Epinephelus tauvina,Hexagrammos otakii,Hippopus hippopus,Konosirus punctatus,Larimichthys crocea,Lateolabrax japonicus,Lates calcarifer,Lethrinus miniatus,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus erythropterus,Lutjanus johnii,Lutjanus malabaricus,Meretrix lusoria,Metapenaeus ensis,Miichthys miiuy,Mizuhopecten yessoensis,Mugil cephalus,Muraenesox cinereus,Mya arenaria,Mytilus coruscus,Mytilus edulis,Mytilus galloprovincialis,Naso vlamingii,Oncorhynchus gorbuscha,Oplegnathus fasciatus,Pagrus auratus,Pagrus major,Panulirus polyphagus,Paralichthys olivaceus,Penaeus monodon,Penaeus penicillatus,Penaeus semisulcatus,Perna viridis,Pinctada maxima,Placopecten magellanicus,Platax orbicularis,Polydactylus sexfilis,Portunus pelagicus,Portunus trituberculatus,Pseudocaranx dentex,Rachycentron canadum,Rhabdosargus sarba,Ruditapes philippinarum,Scomber japonicus,Scylla serrata,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Siganus canaliculatus,Siganus lineatus,Takifugu rubripes,Tegillarca granosa,Terapon jarbua,Thenus orientalis,Thunnus albacares,Thunnus orientalis,Trachinotus blochii,Tridacna gigas,Tridacna maxima,Tridacna squamosa,Turbo cornutus,Turbo setosus"
"Christmas Island Exclusive Economic Zone",23,2.812,"Argyrosomus japonicus,Cromileptes altivelis,Eleutheronema tetradactylum,Hippopus hippopus,Lates calcarifer,Lutjanus erythropterus,Lutjanus malabaricus,Metapenaeus ensis,Naso vlamingii,Panulirus polyphagus,Penaeus monodon,Perna viridis,Pinctada maxima,Polydactylus sexfilis,Portunus trituberculatus,Ruditapes philippinarum,Seriola lalandi,Siganus canaliculatus,Siganus lineatus,Tegillarca granosa,Thunnus maccoyii,Tridacna gigas,Turbo setosus"
"Clipperton Exclusive Economic Zone",2,2.207,"Naso vlamingii,Thunnus orientalis"
"Cocos Islands Exclusive Economic Zone",16,2.472,"Cromileptes altivelis,Eleutheronema tetradactylum,Hippopus hippopus,Lates calcarifer,Lutjanus erythropterus,Lutjanus malabaricus,Naso vlamingii,Penaeus monodon,Polydactylus sexfilis,Seriola lalandi,Siganus canaliculatus,Siganus lineatus,Tegillarca granosa,Thunnus maccoyii,Tridacna gigas,Turbo setosus"
"Colombian Exclusive Economic Zone",31,4.392,"Anguilla rostrata,Argopecten ventricosus,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Ensis directus,Helicolenus dactylopterus,Lutjanus guttatus,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil cephalus,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Perna perna,Pomatomus saltatrix,Pseudocaranx dentex,Rachycentron canadum,Sciaenops ocellatus,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Thunnus albacares,Thunnus thynnus,Trachinotus carolinus"
"Colombian Exclusive Economic Zone (Bajo Nuevo)",17,6.414,"Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Pagrus pagrus,Panulirus argus,Pomatomus saltatrix,Rachycentron canadum,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Colombian Exclusive Economic Zone (Quitasueño)",19,6.152,"Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Pomatomus saltatrix,Rachycentron canadum,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Colombian Exclusive Economic Zone (Serrana)",17,6.142,"Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Pagrus pagrus,Panulirus argus,Pomatomus saltatrix,Rachycentron canadum,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Colombian Exclusive Economic Zone (Serranilla)",16,6.305,"Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Pagrus pagrus,Panulirus argus,Pomatomus saltatrix,Rachycentron canadum,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Comoran Exclusive Economic Zone",8,3.658,"Argyrosomus hololepidotus,Argyrosomus japonicus,Naso vlamingii,Polydactylus sexfilis,Pomatomus saltatrix,Seriola lalandi,Tegillarca granosa,Turbo setosus"
"Congolese Exclusive Economic Zone",2,2.84,"Diplodus vulgaris,Pecten jacobaeus"
"Cook Islands Exclusive Economic Zone",13,4.26,"Caranx ignobilis,Chanos chanos,Lutjanus argentimaculatus,Naso vlamingii,Polydactylus sexfilis,Portunus pelagicus,Seriola lalandi,Seriola rivoliana,Tegillarca granosa,Thunnus albacares,Thunnus orientalis,Tridacna squamosa,Turbo setosus"
"Costa Rican Exclusive Economic Zone",24,4.872,"Anadara tuberculosa,Argopecten ventricosus,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus guttatus,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Perna perna,Pomatomus saltatrix,Rachycentron canadum,Seriola lalandi,Thunnus orientalis,Thunnus thynnus,Trachinotus carolinus"
"Croatian Exclusive Economic Zone",37,3.236,"Aequipecten opercularis,Anguilla anguilla,Argyrosomus regius,Atherina boyeri,Bolinus brandaris,Carcinus aestuarii,Cerastoderma glaucum,Chamelea gallina,Dentex dentex,Dicentrarchus labrax,Dicentrarchus punctatus,Diplodus puntazzo,Diplodus vulgaris,Haliotis tuberculata,Huso huso,Liza ramada,Maja squinado,Melicertus kerathurus,Ostrea edulis,Pagellus bogaraveo,Pagellus erythrinus,Pagrus caeruleostictus,Palaemon serratus,Paracentrotus lividus,Pecten jacobaeus,Portunus pelagicus,Ruditapes decussatus,Schedophilus ovalis,Sciaena umbra,Scophthalmus rhombus,Sepia officinalis,Solea solea,Sparus aurata,Trachinotus ovatus,Umbrina cirrosa,Venerupis corrugata,Venus verrucosa"
"Cuban Exclusive Economic Zone",27,5.623,"Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Ensis directus,Helicolenus dactylopterus,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil cephalus,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Perna perna,Pomatomus saltatrix,Rachycentron canadum,Sciaenops ocellatus,Seriola lalandi,Seriola rivoliana,Thunnus albacares,Thunnus thynnus,Trachinotus carolinus"
"Curaçaoan Exclusive Economic Zone",21,3.896,"Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Ensis directus,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Pomatomus saltatrix,Sciaenops ocellatus,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Cypriote Exclusive Economic Zone",31,5.473,"Aequipecten opercularis,Argyrosomus regius,Atherina boyeri,Bolinus brandaris,Carcinus aestuarii,Cerastoderma glaucum,Chamelea gallina,Dentex dentex,Dentex gibbosus,Dicentrarchus punctatus,Diplodus puntazzo,Diplodus vulgaris,Haliotis tuberculata,Maja squinado,Melicertus kerathurus,Mytilus galloprovincialis,Ostrea edulis,Pagellus erythrinus,Pagrus auriga,Pagrus caeruleostictus,Palaemon serratus,Paracentrotus lividus,Pecten jacobaeus,Ruditapes decussatus,Sciaena umbra,Scophthalmus rhombus,Sepia officinalis,Sparus aurata,Trachinotus ovatus,Umbrina cirrosa,Venus verrucosa"
"Danish Exclusive Economic Zone",34,2.984,"Aequipecten opercularis,Anarhichas lupus,Anarhichas minor,Anguilla anguilla,Carcinus maenas,Cerastoderma edule,Cerastoderma glaucum,Chamelea gallina,Dicentrarchus labrax,Gadus morhua,Haliotis tuberculata,Hippoglossus hippoglossus,Liza ramada,Maja squinado,Melanogrammus aeglefinus,Mugil cephalus,Mytilus edulis,Ostrea edulis,Pagellus bogaraveo,Pagellus erythrinus,Palaemon serratus,Paracentrotus lividus,Pecten maximus,Platichthys flesus,Pollachius pollachius,Ruditapes decussatus,Salmo salar,Salmo trutta,Scophthalmus maximus,Scophthalmus rhombus,Sepia officinalis,Solea solea,Thunnus thynnus,Trachinotus ovatus"
"Democratic Republic of the Congo Exclusive Economic Zone",15,7.156,"Argyrosomus regius,Caranx hippos,Dentex gibbosus,Epinephelus lanceolatus,Helicolenus dactylopterus,Mugil cephalus,Mugil curema,Pagrus auriga,Pagrus caeruleostictus,Pagrus pagrus,Pomatomus saltatrix,Rachycentron canadum,Seriola dumerili,Thunnus albacares,Trachinotus ovatus"
"Djiboutian Exclusive Economic Zone",42,6.267,"Acanthopagrus berda,Acanthopagrus bifasciatus,Argyrosomus japonicus,Asaphis violascens,Bolbometopon muricatum,Carangoides malabaricus,Caranx ignobilis,Caranx sexfasciatus,Decapterus macrosoma,Epinephelus areolatus,Epinephelus chlorostigma,Epinephelus coioides,Epinephelus fuscoguttatus,Epinephelus lanceolatus,Epinephelus malabaricus,Epinephelus tauvina,Helicolenus dactylopterus,Lutjanus argentimaculatus,Lutjanus bohar,Lutjanus johnii,Metapenaeus monoceros,Muraenesox cinereus,Penaeus semisulcatus,Perna perna,Platax orbicularis,Pomatomus saltatrix,Portunus pelagicus,Rachycentron canadum,Rhabdosargus sarba,Scomber japonicus,Scylla serrata,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Siganus sutor,Tegillarca granosa,Terapon jarbua,Thunnus albacares,Trachinotus blochii,Tridacna maxima,Tridacna squamosa,Turbo setosus"
"Dominican Exclusive Economic Zone",18,3.222,"Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Dominican Republic Exclusive Economic Zone",21,4.897,"Anguilla anguilla,Anguilla rostrata,Callinectes sapidus,Caranx hippos,Centropomus undecimalis,Chaetodipterus faber,Crassostrea rhizophorae,Crassostrea virginica,Lutjanus purpureus,Megalops atlanticus,Micropogonias furnieri,Mugil curema,Mugil liza,Mycteroperca bonaci,Pagrus pagrus,Panulirus argus,Pomatomus saltatrix,Rachycentron canadum,Seriola lalandi,Thunnus thynnus,Trachinotus carolinus"
"Dutch Exclusive Economic Zone",27,2.568,"Aequipecten opercularis,Anarhichas lupus,Carcinus maenas,Cerastoderma edule,Cerastoderma glaucum,Chamelea gallina,Dicentrarchus labrax,Haliotis tuberculata,Liza ramada,Maja squinado,Mytilus galloprovincialis,Ostrea edulis,Pagellus bogaraveo,Pagellus erythrinus,Palaemon serratus,Paracentrotus lividus,Pecten maximus,Platichthys flesus,Pollachius pollachius,Ruditapes decussatus,Salmo trutta,Scophthalmus maximus,Scophthalmus rhombus,Sepia officinalis,Solea solea,Trachinotus ovatus,Venus verrucosa"
"East Timorian Exclusive Economic Zone",30,5.519,"Acetes japonicus,Cromileptes altivelis,Eleutheronema tetradactylum,Hippopus hippopus,Lates calcarifer,Lethrinus miniatus,Lutjanus erythropterus,Lutjanus malabaricus,Metapenaeus ensis,Naso vlamingii,Pagrus auratus,Pagrus major,Panulirus polyphagus,Penaeus monodon,Perna viridis,Pinctada maxima,Polydactylus sexfilis,Pomatomus saltatrix,Portunus trituberculatus,Rachycentron canadum,Ruditapes philippinarum,Scomber japonicus,Seriola lalandi,Siganus canaliculatus,Siganus lineatus,Tegillarca granosa,Thunnus maccoyii,Thunnus orientalis,Tridacna gigas,Turbo setosus"
"Ecuadorian Exclusive Economic Zone",16,2.58,"Argopecten ventricosus,Caranx sexfasciatus,Choromytilus chorus,Decapterus macrosoma,Lutjanus guttatus,Mugil cephalus,Mugil curema,Mytilus galloprovincialis,Perna perna,Portunus pelagicus,Scomber japonicus,Seriola dumerili,Seriola lalandi,Seriola rivoliana,Thunnus albacares,Thunnus orientalis"
"Ecuadorian Exclusive Economic Zone (Galapagos)",7,2.89,"Argopecten ventricosus,Caranx sexfasciatus,Lutjanus guttatus,Mytilus galloprovincialis,Oplegnathus fasciatus,Pseudocaranx dentex,Thunnus orientalis"
